,area,demand,demand_met,energy_purchased,energy_sold,panel_area,pct_dem_met,population,reward_risk,storage,total_prod,wind_mills
0,1100.0,5.55555555556e-06,5.55555555556e-06,3988165.59033,0.540870565697,100.0,0.0390288856715,50000.0,2.96730511125,1700.0,431.106516767,0.0
0,1100.0,2.77777777778e-06,2.77777777778e-06,3989011.90546,0.0,100.0,0.0400744655515,50000.0,2.97006606862,1800.0,430.806480714,0.0
0,1100.0,8.33333333333e-06,8.33333333333e-06,3986143.99623,0.0,100.0,0.0408759562482,50000.0,2.96803941069,1900.0,430.932595014,0.0
0,1100.0,5.55555555556e-06,5.55555555556e-06,3989993.50904,0.0,100.0,0.0409774624979,50000.0,2.96664144585,2000.0,430.761254184,0.0
0,1100.0,5.55555555556e-06,5.55555555556e-06,3988511.36053,0.0,100.0,0.0411817407197,50000.0,2.96860153226,2100.0,431.107484548,0.0
0,1100.0,0.0,0.0,3990264.34829,0.0,100.0,0.0403762625821,50000.0,2.97100240022,2200.0,430.802414364,0.0
0,1100.0,1.11111111111e-05,1.11111111111e-05,3986305.58634,0.0,100.0,0.0409624863396,50000.0,2.97140465769,2300.0,430.945319953,0.0
0,1100.0,8.33333333333e-06,8.33333333333e-06,3990263.67545,0.0,100.0,0.0401754570344,50000.0,2.96247470808,2400.0,430.667965939,0.0
0,1200.0,8.33333333333e-06,8.33333333333e-06,3834598.44881,1.78759070333,200.0,0.0835904606733,50000.0,2.97047000403,0.0,861.41437946,0.0
0,1200.0,1.11111111111e-05,1.11111111111e-05,3830892.21171,1.03813892193,200.0,0.0775864298279,50000.0,2.97074310972,100.0,861.329314974,0.0
0,1200.0,5.55555555556e-06,5.55555555556e-06,3835388.7794,1.29778071015,200.0,0.0796586950389,50000.0,2.96452814165,200.0,861.019842033,0.0
0,1200.0,8.33333333333e-06,8.33333333333e-06,3833965.3392,0.238019431875,200.0,0.0800308095051,50000.0,2.96427259258,300.0,861.285520391,0.0
0,1200.0,1.66666666667e-05,1.66666666667e-05,3835097.86787,1.96182507419,200.0,0.080016501073,50000.0,2.96483607986,400.0,860.976666775,0.0
0,1200.0,2.77777777778e-06,2.77777777778e-06,3836546.98732,0.0,200.0,0.0793934995357,50000.0,2.96570386002,500.0,861.225916979,0.0
0,1200.0,1.11111111111e-05,1.11111111111e-05,3832614.89623,0.0690101023532,200.0,0.0795871739432,50000.0,2.96817321538,600.0,861.041752816,0.0
0,1200.0,8.33333333333e-06,8.33333333333e-06,3835072.64977,0.183037691792,200.0,0.0817706171879,50000.0,2.96346787271,700.0,861.437624776,0.0
0,1200.0,8.33333333333e-06,8.33333333333e-06,3833913.11922,0.0,200.0,0.0793245454567,50000.0,2.96753492587,800.0,860.920053249,0.0
0,1200.0,1.11111111111e-05,1.11111111111e-05,3834847.23417,0.361292837853,200.0,0.084498499479,50000.0,2.97064175423,900.0,861.484703643,0.0
