DMU,panel_area,wind_mills,storage,demand_met,pct_dem_met,reward_risk,energy_purchased,energy_sold,population,total_prod,area
35,2300,8,1900,0.817719444444,0.929782451826,2.1673358732,220605.504965,2357136.87847,50000,17145.0629349,11300
36,2300,8,2000,0.821622222222,0.942631938048,2.16192619593,214814.878033,2355817.76141,50000,17145.6564193,11300
37,2300,8,2100,0.825263888889,0.934420843738,2.16151733245,210136.795047,2354711.00607,50000,17155.8472208,11300
38,2300,8,2200,0.828508333333,0.928684230633,2.16214220204,206002.709508,2350190.81423,50000,17147.0778559,11300
39,2300,8,2300,0.831033333333,0.933060267512,2.16913658494,201250.401422,2342426.2477,50000,17137.4574061,11300
40,2300,8,2400,0.834866666667,0.929627100624,2.16234948923,196278.990837,2346807.37945,50000,17154.3283058,11300
41,2400,8,1000,0.801158333333,0.94344133911,2.20549615831,252079.162759,2502939.42407,50000,17572.5950824,11400
42,2400,8,1100,0.804922222222,0.939911854731,2.19750518198,245740.407343,2503167.1758,50000,17581.589121,11400
43,2400,8,1200,0.808277777778,0.935234285713,2.20457516124,239822.224,2496351.89254,50000,17569.8931443,11400
44,2400,8,1300,0.811880555556,0.93691691679,2.20405275796,234400.959348,2497353.20492,50000,17577.1087583,11400
45,2400,8,1400,0.816022222222,0.941134348602,2.19805109867,227240.475753,2502935.7369,50000,17603.0685974,11400
46,2400,8,1500,0.818727777778,0.928418215249,2.19906827966,223016.461069,2498396.0973,50000,17588.911918,11400
47,2400,8,1600,0.822525,0.933450676942,2.20366831336,215824.187493,2491352.5983,50000,17585.3555412,11400
48,2400,8,1700,0.827911111111,0.933826396731,2.20476292142,208228.541159,2495397.31606,50000,17598.4405673,11400
49,2400,8,1800,0.82955,0.931893127336,2.20008708925,204513.338001,2490591.38996,50000,17590.0397539,11400
50,2400,8,1900,0.832461111111,0.947463224105,2.19767523193,201566.27681,2481160.18546,50000,17567.998916,11400
51,2400,8,2000,0.835241666667,0.933048752428,2.2048318174,195318.213511,2485933.33635,50000,17578.3068111,11400
52,2400,8,2100,0.839525,0.935827321629,2.20120669803,190710.577205,2486484.43336,50000,17596.2189232,11400
53,2400,8,2200,0.843277777778,0.934638439051,2.20444336704,187014.719772,2473697.98522,50000,17562.7738053,11400
54,2400,8,2300,0.845683333333,0.931257910025,2.19831306009,182803.750524,2476706.10072,50000,17584.5726186,11400
