DMU,sy1,sy2,sy3
1,0,0,0
2,0,0.00744527033396402,0.000477678956934919
3,0,0.00670584528617379,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0.0171388829689638
9,0,0.0232471135656073,0.0192123036228409
10,0,0.0156197325651397,0.0270635711479843
11,0,0.0145905601071185,0.0359695169425482
12,0,0.00831446890274192,0.0450559275233242
13,0,0,0
14,0,0.0200048951978955,0.0170526949676669
15,0,0.0212706521755875,0.0179484639060552
16,0,0.0112581061160854,0.0286120127978371
17,0,0.00526251655444268,0.0483539300211883
18,0,0.0151723848290753,0.0504766924144116
19,0,0.0252486840498116,0.0581332232982428
20,0,0.0379270014798195,0.0739565376107335
21,0,0.0237066242146407,0.0835546364052385
22,0,0.0338380180723799,0.0960030736593465
23,0,0,0
24,0,0,0
25,0,0,0.00588518091905309
26,0,0.00469164373436335,0.0138007218798562
27,0,0.0134951487476833,0.0317159034226862
28,0,0.0118313074872346,0.0384821772799819
29,0,0.0323704254753902,0.0395420267953225
30,0,0,0
31,0,0,0.00962299841023856
32,0,0.00900763656338561,0.0120116816226879
33,0,0.00297592316758843,0.0274652357982379
34,0,0.00795577707606075,0.033634896445095
35,0,0.0106768769930907,0.0382436242605627
36,0,0.00185529872141931,0.0540331591207244
37,0,0.0138316978380242,0.0653896805218192
38,0,0.023404054276505,0.074424767168225
39,0,0.0231605679748165,0.0746966935767873
40,0,0.0322277354712959,0.0922843297851293
41,0,0,0
42,0,0.00393608249554686,0.0175400268276019
43,0,0.00856153754492385,0.0189000830266405
44,0,0.00713361707160691,0.0285354857717198
45,0,0.0038123308265928,0.0451333718507598
46,0,0.0168348686162467,0.0509976665449186
47,0,0.0159530978773586,0.0568322702437112
48,0,0.021387548304599,0.0697933841452703
49,0,0.0247147724719864,0.0778381089053126
50,0,0.012009169383794,0.0871193579542309
51,0,0.0291403463015846,0.0864807744640837
52,0,0.0308528496667038,0.102213650281095
53,0,0.0359379167882389,0.110162855995674
54,0,0.0416642034952405,0.123774542542693
55,0,0.0461135168842902,0.124857938934176
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0.014877612767134,0.0102402744791742
60,0,0.00221759627881914,0.0190927342771924
61,0,0.0138013146536239,0.0314300271810168
62,0,0.0175371055833787,0.0420721000132508
63,0,0,0
64,0,0,0.00542475120817599
65,0,0,0.0147074340029998
66,0,0.0198177457644452,0.0297703224198813
67,0,0.006297821064404,0.0389208069706289
68,0,0.0145479288700013,0.0437181318104368
69,0,0.029495342451012,0.0537421149049965
70,0,0.023782950979899,0.0594188678081717
71,0,0.0368709690326771,0.0716409186204872
72,0,0.0363279410157173,0.0828179717626665
73,0,0,0
74,0,0.0197742935290121,0.0194727560904029
75,0,0.0176679720222333,0.023189174987089
76,0,0.0132173387422848,0.0221241253509505
77,0,0.0286072880498751,0.0463205708132847
78,0,0.00586699101636653,0.0348723554910569
79,0,0.015061018193848,0.0461113773542716
80,0,0.0164430698193913,0.0601680575799066
81,0,0.0143112777591163,0.0729152973539487
82,0,0.0171271623402312,0.0833673820600878
83,0,0.0242211363883431,0.0837600680960432
84,0,0.0311128885431565,0.0845112044827705
85,0,0.0449176929251375,0.101571260760728
86,0,0.0458367429388243,0.100624397345161
87,0,0.0469278226724204,0.114175279272139
88,0,0,0
89,0,0.0171545970217235,0.0123280922769287
90,0,0.0234533650070218,0.0274616137353888
91,0,0.020759774689009,0.0398769734205637
92,0,0.0276156344576854,0.053379318220778
93,0,0.0195160949369666,0.0613088834487291
94,0,0.0157662471194427,0.0681071205982212
95,0,0.0197380021029539,0.0715817962431666
96,0,0.0140641887983812,0.0808597770578147
97,0,0.01977951703388,0.089904016638908
98,0,0.0266733571916491,0.0953697089506557
99,0,0.0351997454787781,0.106063966177996
100,0,0.0386827547162736,0.111512943588993
101,0,0.0375220719668747,0.124584223479223
102,0,0.0335622640072943,0.132093928252262
103,0,0.0393371052270996,0.144069129300895
104,0,0.043343302964143,0.14646709049824
