DMU,x
1,1
2,0.999666203472473
3,0.999319334395585
4,1
5,1
6,1
7,1
8,0.998999084847068
9,0.996277477248793
10,0.99418463241327
11,0.992461780437021
12,0.99174128324609
13,1
14,0.997602757642833
15,0.995670224013222
16,0.992949449479725
17,0.990809083044704
18,0.98723494467823
19,0.986653694008347
20,0.985642286392779
21,0.985280223566919
22,0.983251565764051
23,1
24,1
25,0.99832581592745
26,0.996061498817202
27,0.994155110878895
28,0.99329583632155
29,0.991253389884067
30,1
31,0.998290045926544
32,0.997570988148449
33,0.995927159049969
34,0.994053065753639
35,0.990052159695796
36,0.988702072975826
37,0.987255737060322
38,0.985393370641528
39,0.982788164108883
40,0.981751658150566
41,1
42,0.99789191992987
43,0.995309800523999
44,0.993064320057811
45,0.991502350876444
46,0.988247722965632
47,0.986389544025157
48,0.986630158582949
49,0.982526077872015
50,0.979969377034252
51,0.977291518884762
52,0.97661498861864
53,0.975413517644903
54,0.972675184286753
55,0.970651522759852
56,1
57,1
58,1
59,0.996861867414504
60,0.996315877513698
61,0.994709938491753
62,0.991703528820409
63,1
64,0.997004537589777
65,0.99474910412803
66,0.99466303960689
67,0.992082181574761
68,0.989046526938742
69,0.988835443410035
70,0.986672058099814
71,0.98347687797934
72,0.9822790871172
73,1
74,0.997717043525927
75,0.996037473129269
76,0.991853277786866
77,0.992962970878803
78,0.989614409104451
79,0.98803346446381
80,0.985003817994121
81,0.982885716785806
82,0.980547231574158
83,0.980048908849979
84,0.975872575987894
85,0.974370752298197
86,0.972344315456052
87,0.970588916411193
88,1
89,0.996661651619898
90,0.992875197692226
91,0.989512785406579
92,0.988468045681593
93,0.985848179135818
94,0.983274725082089
95,0.982567598478893
96,0.977483553420366
97,0.977037979217026
98,0.974211934711304
99,0.972676279047804
100,0.969129850309992
101,0.966360308200363
102,0.965568651975111
103,0.963150871617114
104,0.962398975071145
105,0.958449801817016
106,1
107,0.999161951688296
108,0.997674543241561
109,0.995748834985725
110,0.994507086495189
111,1
112,0.998696641232908
113,0.99684912902244
114,0.993882260588414
115,0.992705492353373
116,0.990404627515745
117,0.987828751024788
118,0.986265557786433
119,0.982227357924109
120,0.982373086148595
121,1
122,0.997975818840835
123,0.994593674384826
124,0.992272013761351
125,0.990153184728232
126,0.98910215814664
127,0.98710179543394
128,0.981710639886239
129,0.982882599492992
130,0.979981817932905
131,0.976834309516876
132,0.974601118127979
133,0.972039142004781
134,0.971359756727129
135,1
136,0.996640970876745
137,0.993335742898214
138,0.991631714693224
139,0.988924647653424
140,0.985737864669466
141,0.983655029389746
142,0.981829824494154
143,0.977385676756703
144,0.977472378737559
145,0.974712840895932
146,0.971883813501151
147,0.969478581731034
148,0.968295149967795
149,0.965105300142326
150,0.963035304005996
151,0.960357871948502
152,0.959210567768894
153,1
154,1
155,1
156,0.991781470468115
157,0.989053681672291
158,0.986155830754453
159,0.982452735871442
160,0.979664907137554
161,0.977581252703711
162,0.975432915994336
163,0.971605489123891
164,0.968995441459032
165,0.968302178743352
166,0.965295660055934
167,0.962679248638119
168,0.960783345853672
169,0.958397320490192
170,0.9551226313586
171,0.953536510159508
172,0.950612126435771
173,0.948746249720951
174,0.947288566953797
175,1
176,0.998105307641306
177,0.997749247527448
178,0.996553032642196
179,1
180,0.998963251766984
181,0.996007483497968
182,0.994968995191057
183,0.992613769668891
184,0.99009353163978
185,0.98883922772636
186,0.986125766383694
187,0.984597823469785
188,1
189,0.995956189022195
190,0.992939477673386
191,0.99053284579674
192,0.988900793841954
193,0.986747571836494
194,0.984724670359774
195,0.982745942693462
196,0.979649539625164
197,0.979297504053081
198,0.97630224384598
199,0.973560109805718
200,0.972409236431171
201,1
202,0.996788376313426
203,0.994499261683429
204,0.990591175322847
205,0.987842434630667
206,0.985469235961211
207,0.98197598138238
208,0.979572740239962
209,0.97781871695995
210,0.976058226315096
211,0.972506359654935
212,0.971738462874699
213,0.968127852195839
214,0.965804467332877
215,0.964234148316666
216,0.961661601303789
217,0.960823275018459
218,0.998931085036737
219,0.99541148560202
220,0.991002058134044
221,0.990577395462865
222,0.986564772289845
223,0.985064484689069
224,0.983095106721438
225,0.981193271288075
226,0.976124447168899
227,0.973970102562254
228,0.971639213562025
229,0.968162773213787
230,0.964717081641787
231,0.963444928188278
232,0.959897591094017
233,0.956936570739567
234,0.954871994392931
235,0.954516118003728
236,0.950691762394241
237,0.949296328146641
238,0.946464952555003
239,1
240,1
241,0.992623029801272
242,0.987100059159012
243,0.984277297810275
244,0.980779182453665
245,0.978266428007892
246,0.975357725821069
247,0.972496225465302
248,0.969961507230088
249,0.966588396556855
250,0.963443043415682
251,0.961665024645945
252,0.959215338936071
253,0.956727766579552
254,0.954509580820282
255,0.950485555912697
256,0.948160885491608
257,0.945200800364636
258,0.943303618621129
259,0.940593186225346
260,0.937913768978601
261,0.936776479979686
262,0.934479135005115
263,1
264,1
265,1
266,0.998124804506788
267,0.996006950532013
268,0.993191181595868
269,0.990893252365533
270,0.988336905879349
271,0.986284056679599
272,0.985406500593399
273,0.999367121829069
274,0.998824898754604
275,0.994615444230762
276,0.991069723190794
277,0.988778325330929
278,0.987312225327845
279,0.984339264635629
280,0.98152454546497
281,0.980094482393046
282,0.976925164717386
283,0.976679454905201
284,0.974136592613747
285,0.996888023583883
286,0.994728061315678
287,0.994332944446854
288,0.990551568846746
289,0.986954300214616
290,0.984803719635652
291,0.982694330995947
292,0.979542245460735
293,0.9759792087808
294,0.975209213403482
295,0.972224775740095
296,0.96952797926369
297,0.967305171063364
298,0.96557380816209
299,0.96384128886936
300,0.960699321423899
301,1
302,0.996574180764451
303,0.994150789700075
304,0.991421182274045
305,0.990326392507844
306,0.985796745960274
307,0.98375850732593
308,0.982052524892828
309,0.977984128592351
310,0.97363944369935
311,0.97318256637583
312,0.970385130414763
313,0.967137692073085
314,0.964783349254363
315,0.96186058080765
316,0.95843981771027
317,0.957813427500651
318,0.956065928823572
319,0.953477244542468
320,0.949148127014221
321,0.948152041347949
322,1
323,0.995161724744443
324,0.991682015111868
325,0.989351346588894
326,0.984638099507074
327,0.983200462342948
328,0.979471875693456
329,0.976648929523076
330,0.974868500235312
331,0.971201314108138
332,0.967482386837727
333,0.965678314433055
334,0.96199839787966
335,0.958356379779905
336,0.957198034145585
337,0.954100102984112
338,0.952633586628893
339,0.948842713239107
340,0.945757675963517
341,0.945303438098373
342,0.941719182229528
343,0.94063129242581
344,0.936615228277476
345,0.933954989632043
346,1
347,0.984843054746837
348,0.979132608140658
349,0.977240159708044
350,0.972883205365291
351,0.970103961297485
352,0.967466282293562
353,0.963919080813132
354,0.962813438506737
355,0.958395327773613
356,0.95645863515233
357,0.953174858676965
