DMU,V1
625,1840
626,1880
627,1931
628,1984
629,2027
630,2069
631,2092
632,2134
633,2170
634,2226
635,69.5
636,69.5
637,258
638,296
639,155
640,256
641,305
642,395
643,507
644,579
645,613
646,627
647,198
648,309
649,364
650,448
651,528
652,598
653,635
654,760
655,804
656,873
657,900
658,983
659,69.5
660,213
661,307
662,382
663,494
664,540
665,585
666,710
667,786
668,866
669,912
670,959
671,1058
672,1117
673,1159
674,1209
675,1273
676,69.5
677,193
678,323
679,433
680,477
681,573
682,620
683,737
684,800
685,878
686,916
687,1032
688,1079
689,1129
690,1200
691,1277
692,1342
693,1401
694,1461
695,1481
696,1537
697,69.5
698,329
699,442
700,466
701,577
702,643
703,729
704,828
705,872
706,972
707,1047
708,1108
709,1175
710,1241
711,1286
712,1347
713,1449
714,1491
715,1542
716,1590
717,1647
718,1660
719,1752
720,1767
721,69.5
722,700
723,784
724,842
725,909
726,1011
727,1053
728,1123
729,1182
730,1245
731,1325
732,1398
733,1465
734,1498
735,1553
736,1630
737,1688
738,1742
739,1798
740,1825
741,1876
742,1921
743,1953
744,2014
745,69.5
746,985
747,1092
748,1142
749,1232
750,1318
751,1338
752,1425
753,1475
754,1559
755,1580
756,1637
757,1696
758,1759
759,1812
760,1857
761,1903
762,1965
763,1999
764,2041
765,2078
766,2117
767,2147
768,2181
769,69.5
770,1322
771,1368
772,1452
773,1486
774,1567
775,1622
776,1682
777,1736
778,1793
779,1832
780,1868
781,1946
782,1967
783,2031
784,2061
785,2115
786,2142
787,2203
788,2228
789,2261
790,2278
791,2333
792,2361
793,69.5
794,201
795,295
796,384
797,437
798,495
799,548
800,69.5
801,195
802,328
803,403
804,462
805,599
806,669
807,766
808,792
809,876
810,884
811,145
812,228
813,301
814,419
815,504
816,606
817,629
818,728
819,808
820,897
821,976
822,1042
823,1143
824,1204
825,1203
826,169
827,292
828,359
829,451
830,539
831,626
832,688
833,763
834,874
835,939
836,997
837,1068
838,1153
839,1208
840,1276
841,1334
842,1402
843,1456
844,1496
845,69.5
846,69.5
847,332
848,409
849,484
850,549
851,663
852,731
853,821
854,902
855,984
856,1016
857,1103
858,1172
859,1252
860,1290
861,1379
862,1397
863,1482
864,1539
865,1593
866,1664
867,1706
868,1734
869,69.5
870,604
871,673
872,745
873,811
874,911
875,979
876,1059
877,1119
878,1202
879,1267
880,1315
881,1367
882,1445
883,1535
884,1577
885,1627
886,1683
887,1739
888,1784
889,1853
890,1894
891,1930
892,1956
893,69.5
894,949
895,986
896,1114
897,1138
898,1239
899,1266
900,1335
901,1436
902,1466
903,1550
904,1592
905,1666
906,1703
907,1773
908,1818
909,1870
910,1900
911,1960
912,2004
913,2045
914,2104
915,2135
916,2164
917,69.5
918,1219
919,1296
920,1388
921,1433
922,1499
923,1569
924,1623
925,1679
926,1740
927,1800
928,1855
929,1878
930,1923
931,1987
932,2024
933,2079
934,2111
935,2160
936,2213
937,2246
938,2280
939,2311
940,2345
941,69.5
942,1519
943,1584
944,1671
945,1692
946,1755
947,1821
948,1871
949,1924
950,1964
951,1994
952,2070
953,2088
954,2155
955,2194
956,2215
957,2257
958,2287
959,2340
960,2376
