DMU,V1
635,653
636,449
637,983
638,82
639,1423
640,1192
641,1034
642,975
643,702
644,2598
645,1609
646,410
647,1165
648,430
649,281
650,1573
651,83
652,2618
653,130
654,547
655,50
656,2041
657,1804
658,1371
659,1580
660,1629
661,2581
662,997
663,851
664,160
665,196
666,208
667,292
668,328
669,806
670,197
671,1847
672,348
673,871
674,507
675,2561
676,1828
677,396
678,530
679,386
680,2099
681,2299
682,1212
683,567
684,508
685,1385
686,1593
687,2569
688,832
689,1867
690,1177
691,1015
692,245
693,516
694,309
695,2062
696,1362
697,209
698,1814
699,2079
700,722
701,2324
702,411
703,1363
704,161
705,2050
706,96
707,144
708,143
709,984
710,666
711,1404
712,1574
713,450
714,51
715,349
716,1035
717,2343
718,97
719,998
720,282
721,2570
722,1232
723,131
724,1166
725,1581
726,283
727,329
728,818
729,703
730,52
731,852
732,2363
733,2042
734,976
735,1372
736,1424
737,683
738,1805
739,1193
740,198
741,397
742,431
743,387
744,1630
745,872
746,226
747,210
748,293
749,2562
750,2619
751,2582
752,84
753,1213
754,517
755,568
756,1016
757,548
758,2599
759,1386
760,654
761,162
762,53
763,833
764,246
765,1610
766,807
767,294
768,1829
769,451
770,1848
771,1650
772,531
773,2063
774,2051
775,2300
776,330
777,2310
778,549
779,412
780,145
781,1194
782,1178
783,132
784,723
785,977
786,667
787,1373
788,1036
789,85
790,388
791,98
792,808
793,284
794,398
795,1233
796,985
797,1815
798,227
799,1594
800,684
801,310
802,1425
803,2100
804,655
805,199
806,2080
807,1364
808,819
809,1611
810,1405
811,873
812,1167
813,472
814,588
815,2344
816,311
817,1806
818,1017
819,1868
820,2043
821,853
822,2583
823,2120
824,413
825,350
826,1582
827,518
828,704
829,99
830,54
831,2364
832,2563
833,999
834,211
835,247
836,1365
837,432
838,200
839,86
840,1179
841,1214
842,724
843,569
844,295
845,1830
846,1651
847,2325
848,452
849,2620
850,133
851,589
852,1387
853,146
854,2311
855,1849
856,2301
857,2640
858,212
859,1631
860,2064
861,228
862,1056
863,2571
864,163
865,399
866,668
867,532
868,134
869,331
870,1406
871,433
872,705
873,656
874,834
875,55
876,809
877,87
878,685
879,1168
880,312
881,1869
882,2600
883,351
884,810
885,986
886,2081
887,1234
888,248
889,1374
890,1807
891,1595
892,1583
893,2584
894,1816
895,550
896,296
897,820
898,1195
899,147
900,657
901,1180
902,854
903,100
904,1612
905,1215
906,519
907,2121
908,164
909,725
910,1000
911,874
912,669
913,2052
914,400
915,414
916,686
917,1632
918,551
919,1018
920,1037
921,1388
922,520
923,1596
924,473
925,165
926,148
927,1584
928,2572
929,1407
930,229
931,213
932,453
933,2345
934,570
935,1426
936,1235
937,1446
938,1831
939,835
940,1808
941,1817
942,1038
943,2101
944,2326
945,2641
946,434
947,1057
948,2601
949,894
950,332
951,352
952,2312
953,2065
954,297
955,533
956,1196
957,1652
958,313
959,670
960,1375
961,1427
962,1850
963,987
964,401
965,1613
966,2365
967,2053
968,521
969,249
970,1890
971,1169
972,706
973,101
974,2621
975,2082
976,821
977,534
978,590
979,875
980,1170
981,214
982,415
983,658
984,855
985,746
986,895
987,333
988,1181
989,1236
990,298
991,2122
992,102
993,571
994,454
995,1389
996,1019
997,836
998,166
999,552
1000,1447
1001,2302
1002,435
1003,591
1004,149
1005,1870
1006,1058
1007,2327
1008,988
1009,1001
1010,314
1011,726
1012,230
1013,2585
1014,2102
1015,2386
1016,856
1017,402
1018,1832
1019,1216
1020,2313
1021,474
1022,416
1023,1002
1024,1039
1025,2066
1026,215
1027,2573
1028,2366
1029,2346
1030,522
1031,353
1032,687
1033,299
1034,1197
1035,1585
1036,1633
1037,2622
1038,2303
1039,1376
1040,231
1041,250
1042,822
1043,1408
1044,1653
1045,1851
1046,1597
1047,707
1048,103
1049,455
1050,1182
1051,1059
1052,150
1053,727
1054,2642
1055,572
1056,354
1057,535
1058,671
1059,876
1060,167
1061,1818
1062,436
1063,104
1064,2054
1065,2083
1066,1891
1067,1428
1068,837
1069,2602
1070,1256
1071,334
1072,417
1073,403
1074,1614
1075,315
1076,553
1077,1833
1078,2586
1079,688
1080,251
1081,216
1082,1237
1083,1217
1084,989
1085,1598
1086,1020
1087,2314
1088,1586
1089,1871
1090,1634
1091,475
1092,747
1093,1390
1094,2574
1095,1409
1096,2328
1097,592
1098,217
1099,168
1100,1377
1101,300
1102,573
1103,857
1104,2123
1105,1448
1106,151
1107,2103
1108,708
1109,1819
1110,2067
1111,1198
1112,1040
1113,612
1114,896
1115,536
1116,232
1117,672
1118,2347
1119,877
1120,456
1121,1654
1122,2055
1123,728
1124,1218
