DMU,v1,v2,v3
1,0.805955041820929,0,0.142658436281429
2,1.23628343528551,0,0
3,0.119834941989382,0,0.366966528458076
4,0.246133214472987,0,0.324974081479829
5,0.220142443323759,0,0.333495650251862
6,0.691877815034709,0.144343750703853,0.138198886385966
7,0.878879010484832,0.0228331076303202,0.119973045819599
8,0.569940562838334,0.578631639388058,0
9,1.23114101813795,0,0
10,1.22391312620124,0,0
11,1.21676960721903,0,0
12,1.20987142158682,0,0
13,1.06076554379851,0,0.0634594134060612
14,1.23556979308082,0,0
15,1.22747524081551,0,0
16,1.2194860574572,0,0
17,1.21160019888832,0,0
18,1.2039200951666,0,0
19,1.19700739445877,0,0
20,1.19017362361018,0,0
21,1.18341743845208,0,0
22,1.17704495540112,0,0
23,0.0561658832160284,0.689774595919689,0.150493987083095
24,0.985612490168283,0,0.098470729827744
25,1.1367843154673,0.0888318394333835,0
26,1.23154222447454,0,0
27,1.22430784552841,0,0
28,1.21715796323583,0,0
29,1.21009110582607,0,0
30,0.892464503984493,0,0.132242109183445
31,1.12547250630629,0.100987411695267,0
32,1.23393492479835,0,0
33,1.22610811352668,0,0
34,1.21837996687463,0,0
35,1.2107486308815,0,0
36,1.20335394253784,0,0
37,1.19629080762074,0,0
38,1.18935890859416,0,0
39,1.18261027433193,0,0
40,1.17593779386486,0,0
41,0,0.395482740455801,0.284237816736752
42,1.23973741546371,0,0
43,1.23139538688925,0,0
44,1.22316487275575,0,0
45,1.21504365185797,0,0
46,1.20705255343122,0,0
47,1.19922135378884,0,0
48,1.19171041160578,0,0
49,1.18440850807307,0,0
50,1.17719554073314,0,0
51,1.17006989457518,0,0
52,1.1632947066718,0,0
53,1.15669271301386,0,0
54,1.15016523246509,0,0
55,1.14371101062095,0,0
56,1.05494249099536,0,0.0798015691697529
57,0.947502158718707,0.0486539598338647,0.0990053546141745
58,0.577001850641696,0.380576958513386,0.0888960351494601
59,1.2345374950333,0,0
60,1.22726356184531,0,0
61,1.22007484305108,0,0
62,1.21296984993622,0,0
63,1.18941489418375,0,0.0219924254847924
64,1.22767157713341,0.00797003255944335,0
65,1.18987611682454,0.0336962769540762,0
66,1.22113167842404,0,0
67,1.21339588357105,0,0
68,1.20579844355535,0,0
69,1.19864072057695,0,0
70,1.19172503442271,0,0
71,1.1849076183813,0,0
72,1.17820518349015,0,0
73,0,0.750760438551145,0.139849155047511
74,1.24100951236875,0,0
75,1.23282187152805,0,0
76,1.22474155956232,0,0
77,1.21676647980963,0,0
78,1.20889458986558,0,0
79,1.20123166386082,0,0
80,1.19369081466855,0,0
81,1.18628065230792,0,0
82,1.17897879452268,0,0
83,1.17176627639629,0,0
84,1.16482737891303,0,0
85,1.15829530557518,0,0
86,1.15183608431019,0,0
87,1.1454485031005,0,0
88,0,0.598128157546163,0.205523101137494
89,1.23271254394795,0,0
90,1.22329656126951,0,0
91,1.21402333471961,0,0
92,1.20553851650134,0,0
93,1.19746256640906,0,0
94,1.18983768648138,0,0
95,1.18230929547504,0,0
96,1.17487557337942,0,0
97,1.1676121278958,0,0
98,1.16048621979557,0,0
99,1.15344676257154,0,0
100,1.14649219248788,0,0
101,1.1396389990959,0,0
102,1.13290826615186,0,0
103,1.12668991240231,0,0
104,1.12057744622543,0,0
105,1.11453094432172,0,0
106,1.05035970000741,0,0.0842101779321852
107,1.19827716909007,0.0364218311364098,0
108,1.19128160290713,0.0362091997546652,0
109,1.2254661391719,0,0
110,1.21868401016503,0,0
111,0.988273950932364,0,0.109309490992537
112,1.09198878565374,0.129535140208344,0
113,1.17895296240732,0.0472287488393086,0
114,1.22538884885912,0,0
115,1.21771633432657,0,0
116,1.21013930162647,0,0
117,1.20279021555934,0,0
118,1.19579518098981,0,0
119,1.18888103765063,0,0
120,1.18229575070565,0,0
121,1.10456875978767,0.121381182394221,0
122,1.23793151125681,0,0
123,1.22919546184085,0,0
124,1.22058184852863,0,0
125,1.21254778686492,0,0
126,1.1926155349372,0.0105752385030915,0
127,1.19724019769281,0,0
128,1.18982826018891,0,0
129,1.18259299081726,0,0
130,1.17544546963264,0,0
131,1.16838382777813,0,0
132,1.16165692437555,0,0
133,1.1551308465803,0,0
134,1.14867768491431,0,0
135,1.24598002044728,0,0
136,1.236556408745,0,0
137,1.22749821176791,0,0
138,1.21869538222284,0,0
139,1.21001791018441,0,0
140,1.20166359425816,0,0
141,1.19343022765597,0,0
142,1.18567311834653,0,0
143,1.17816502599101,0,0
144,1.17075740111768,0,0
145,1.16361948209758,0,0
146,1.15656807312139,0,0
147,1.14960161093757,0,0
148,1.14271856973332,0,0
149,1.13601139906295,0,0
150,1.12941376310388,0,0
151,1.1232439735253,0,0
152,1.11717588660752,0,0
153,0.251241758874922,0.241011717079418,0.286364870970491
154,0.481401652458682,0.645310526083707,0
155,0,0.905946662664759,0.0641925709748513
156,1.21863381012406,0,0
157,1.2096178129148,0,0
158,1.2007342446852,0,0
159,1.19198020898747,0,0
160,1.18353610190778,0,0
161,1.17535041491977,0,0
162,1.16746028625909,0,0
163,1.15996390847355,0,0
164,1.15277689850285,0,0
165,1.14567839998598,0,0
166,1.13866678783867,0,0
167,1.13183545252422,0,0
168,1.12516289363662,0,0
169,1.11858155489596,0,0
170,1.11208704527721,0,0
171,1.10566751486478,0,0
172,1.09936500677209,0,0
173,1.09337581589605,0,0
174,1.087618550422,0,0
175,0.686050514107394,0.370810771003265,0.0599824059868533
176,1.239728366217,0,0
177,1.23286681139496,0,0
178,1.22665211663739,0,0
179,1.15990801290016,0,0.03930336161979
180,1.24030564510928,0,0
181,1.23234851382851,0,0
182,1.22449282903708,0,0
183,1.21673666299202,0,0
184,1.20907813648565,0,0
185,1.20201693031831,0,0
186,1.19541698049475,0,0
187,1.18903589996641,0,0
188,1.0565875570203,0,0.0819344909743863
189,1.23576351337338,0,0
190,1.22735433725425,0,0
191,1.21905883384889,0,0
192,1.21087471374077,0,0
193,1.20317609009972,0,0
194,1.19564623060906,0,0
195,1.18821003347128,0,0
196,1.18090533059116,0,0
197,1.17368989249808,0,0
198,1.16679842130132,0,0
199,1.16045484375738,0,0
200,1.15417986997341,0,0
201,0,0.802034403173686,0.123577719010437
202,1.23396663536334,0,0
203,1.22507112277135,0,0
204,1.21630294553091,0,0
205,1.2076593889475,0,0
206,1.19933749712322,0,0
207,1.19113586605384,0,0
208,1.18328180217524,0,0
209,1.17556948983082,0,0
210,1.16824365321882,0,0
211,1.16114339299395,0,0
212,1.15412891820546,0,0
213,1.14719868349773,0,0
214,1.14035118041136,0,0
215,1.13358493628856,0,0
216,1.1275964379144,0,0
217,1.12167087907828,0,0
218,1.24267107503653,0,0
219,1.23329726110818,0,0
220,1.22406380698376,0,0
221,1.21506414063826,0,0
222,1.20643811958398,0,0
223,1.19793371140452,0,0
224,1.18954836228642,0,0
225,1.18127958942436,0,0
226,1.17312497857024,0,0
227,1.1652646004267,0,0
228,1.15752085807721,0,0
229,1.149879358045,0,0
230,1.14233808871855,0,0
231,1.13528240887855,0,0
232,1.12869373989537,0,0
233,1.12218110499312,0,0
234,1.11574319555808,0,0
235,1.10937873283511,0,0
236,1.10308646708086,0,0
237,1.09697683448984,0,0
238,1.09115543696255,0,0
239,0,0.427124124091285,0.306978828879822
240,0,1.04488962160271,0
241,0.916383990819081,0.257023752950433,0
242,0.957655020153192,0.213225020008346,0
243,1.19766095765228,0,0
244,1.18895151410725,0,0
245,1.18036782697467,0,0
246,1.17197252440546,0,0
247,1.16394546785442,0,0
248,1.15602762089619,0,0
249,1.1482167698643,0,0
250,1.14051076051845,0,0
251,1.13307422765752,0,0
252,1.12575107231717,0,0
253,1.11852196946227,0,0
254,1.1115065459105,0,0
255,1.10491640742996,0,0
256,1.09855657648168,0,0
257,1.09228582498554,0,0
258,1.08618469861585,0,0
259,1.08015207473768,0,0
260,1.07418609062085,0,0
261,1.06828564812023,0,0
262,1.06265921481447,0,0
263,0.727785161451539,0.30163014388292,0.0825286368361243
264,1.20020874878953,0,0.0194963887936343
265,0.38197427522596,0.743360386360848,0
266,1.24078053051875,0,0
267,1.23276273138215,0,0
268,1.22484788738485,0,0
269,1.21707285458961,0,0
270,1.20940975210577,0,0
271,1.20253319630468,0,0
272,1.19636951547403,0,0
273,1.07816954009927,0.143994767098633,0
274,0.635594498820712,0.514918055890151,0
275,1.22768082797612,0,0
276,1.21928590451052,0,0
277,1.21100501085241,0,0
278,1.20328064540905,0,0
279,1.19573869072495,0,0
280,1.18829069048215,0,0
281,1.18093489988235,0,0
282,1.17367964707453,0,0
283,1.16687688683081,0,0
284,1.16079608556344,0,0
285,1.24233488435048,0,0
286,1.23343926201081,0,0
287,1.22467012651172,0,0
288,1.05250603046749,0.140567281016959,0
289,1.20750067622553,0,0
290,1.19909522669368,0,0
291,1.19104069826229,0,0
292,1.1831377773205,0,0
293,1.17533904169387,0,0
294,1.16798096827571,0,0
295,1.16087372057749,0,0
296,1.15385244594777,0,0
297,1.1469155938006,0,0
298,1.14008287333661,0,0
299,1.13335624979671,0,0
300,1.12753769094234,0,0
301,0.79838808393137,0.12916599944894,0.131456762355771
302,1.23933669116692,0,0
