DMU,u1,u2,u3
1,0.000328290356001934,0.0132763025555597,6.62226651309999e-05
2,0.000284977068315923,0.0362419236350468,4.69540448721443e-05
3,0.000404731622204003,0.0042933116798926,1.31101665047141e-06
4,0.000394468553315354,0.00639577497447511,6.47861834621729e-06
5,0.000398625190349142,0.00614422620864808,2.68091079590406e-06
6,0.000345665397952992,0.0147206300640886,5.68715475228324e-05
7,0.00033418328359648,0.0156764687910311,6.4022719047831e-05
8,0.000291557666923174,0.0312113683533977,5.54688938014581e-05
9,0.00028515800184022,0.031445691963369,5.90555962018626e-05
10,0.000283483870939029,0.0312610778046026,5.87088873672798e-05
11,0.00028182928257826,0.0310786186921697,5.83662257499197e-05
12,0.000278888805691558,0.0354676495841335,4.59509165918676e-05
13,0.000306845041178219,0.0232972753076101,6.69939826793374e-05
14,0.000280397331487449,0.0316478339031313,6.59447294426273e-05
15,0.000278560372646686,0.0314405003740606,6.55127076644293e-05
16,0.0002767473259803,0.0312358657598435,6.50863096268748e-05
17,0.000274957727601006,0.0310338777025366,6.46654262314894e-05
18,0.000278853066915302,0.030750417623464,5.77498580195139e-05
19,0.000277251940893081,0.030573854050412,5.74182683351054e-05
20,0.000275669096676613,0.0303993064966492,5.70904647725381e-05
21,0.000274104222928303,0.0302267406295397,5.67663828544761e-05
22,0.000271321940497237,0.0345053344331298,4.47041674061347e-05
23,0.000361372805658416,0.0148959761052937,5.081220803124e-05
24,0.000334552801499636,0.0179689406666386,6.32801638777324e-05
25,0.000295465318556725,0.0285953375021335,6.06067995790685e-05
26,0.000295583178019342,0.0282036213550121,5.90895416749292e-05
27,0.00029384685044778,0.028037946414698,5.8742435316955e-05
28,0.000292130802968035,0.0278742065372457,5.83993831184164e-05
29,0.00029043468233956,0.0277123680175462,5.8060314463583e-05
30,0.000341898992051165,0.0150571420300904,6.65537014582841e-05
31,0.000294414041779001,0.0284046038000461,6.37405823386186e-05
32,0.000290483979286219,0.0287189373037007,6.38345932575563e-05
33,0.000288641448341006,0.0285367739677893,6.34296923961004e-05
34,0.00028682214430245697,0.0283569069790904,6.30298957064586e-05
35,0.000285025630724635,0.0281792931880176,6.26351072785258e-05
36,0.000285318210359484,0.028210525533291,5.90419559534293e-05
37,0.000283643523517287,0.028044942706094,5.8695406791185e-05
