DMU,peer1,peer2,peer3,peer4,peer5
224,73,188,301,NA,NA
225,73,188,301,NA,NA
226,73,188,301,NA,NA
227,73,111,188,NA,NA
228,73,111,188,NA,NA
229,73,111,188,NA,NA
230,73,111,188,NA,NA
231,106,111,NA,NA,NA
232,58,106,111,NA,NA
233,58,106,111,NA,NA
234,58,106,111,NA,NA
235,58,106,111,NA,NA
236,58,106,111,NA,NA
237,56,58,106,NA,NA
238,56,58,106,NA,NA
239,239,NA,NA,NA,NA
240,155,239,322,NA,NA
241,88,153,239,322,NA
242,88,153,301,322,NA
243,73,153,301,NA,NA
244,73,153,301,NA,NA
245,73,153,301,NA,NA
246,73,188,301,NA,NA
247,73,188,301,NA,NA
248,73,188,301,NA,NA
249,73,188,301,NA,NA
250,73,188,301,NA,NA
251,73,111,188,NA,NA
252,73,111,188,NA,NA
253,73,111,188,NA,NA
254,63,73,111,NA,NA
255,57,63,111,NA,NA
256,57,63,111,NA,NA
257,57,58,111,NA,NA
258,58,106,111,NA,NA
259,58,106,111,NA,NA
260,58,106,111,NA,NA
261,58,106,111,NA,NA
262,56,58,106,NA,NA
263,57,106,175,263,371
264,264,NA,NA,NA,NA
265,265,NA,NA,NA,NA
266,175,179,371,NA,NA
267,175,179,371,NA,NA
268,175,179,371,NA,NA
269,175,263,371,NA,NA
270,175,263,371,NA,NA
271,56,175,263,NA,NA
272,56,263,264,NA,NA
273,188,201,301,371,NA
274,175,201,371,636,NA
275,179,188,371,NA,NA
276,179,188,371,NA,NA
277,179,188,371,NA,NA
278,175,179,371,NA,NA
279,175,179,371,NA,NA
280,175,179,371,NA,NA
281,175,179,371,NA,NA
282,175,263,371,NA,NA
283,56,175,263,NA,NA
284,56,175,263,NA,NA
285,188,301,371,NA,NA
286,188,301,371,NA,NA
287,188,301,371,NA,NA
288,188,201,301,371,NA
289,188,301,371,NA,NA
290,188,301,371,NA,NA
291,179,188,371,NA,NA
292,179,188,371,NA,NA
293,179,188,371,NA,NA
294,175,179,371,NA,NA
295,175,179,371,NA,NA
296,175,179,371,NA,NA
297,175,179,371,NA,NA
298,106,175,179,NA,NA
299,56,106,175,NA,NA
300,56,175,263,NA,NA
301,301,659,NA,NA,NA
302,188,301,371,NA,NA
303,188,201,301,371,NA
304,188,301,371,NA,NA
305,188,301,371,NA,NA
306,188,301,371,NA,NA
307,188,301,371,NA,NA
308,188,301,371,NA,NA
309,188,301,371,NA,NA
310,188,301,371,NA,NA
311,179,188,371,NA,NA
312,179,188,371,NA,NA
313,179,188,371,NA,NA
314,111,179,188,NA,NA
315,106,175,179,NA,NA
316,106,175,179,NA,NA
317,106,175,179,NA,NA
318,106,175,179,NA,NA
319,106,175,179,NA,NA
320,106,175,179,NA,NA
321,56,106,175,NA,NA
322,322,NA,NA,NA,NA
323,153,301,322,423,NA
324,88,153,301,322,NA
325,73,153,301,NA,NA
326,73,153,301,NA,NA
327,73,188,301,NA,NA
328,73,188,301,NA,NA
329,73,188,301,NA,NA
330,73,188,301,NA,NA
331,73,188,301,NA,NA
332,73,188,301,NA,NA
333,73,188,301,NA,NA
334,73,188,301,NA,NA
335,111,179,188,NA,NA
336,111,179,188,NA,NA
337,111,179,188,NA,NA
338,111,179,188,NA,NA
339,106,111,179,NA,NA
340,106,111,179,NA,NA
341,106,111,179,NA,NA
342,106,175,179,NA,NA
343,106,175,179,NA,NA
344,106,175,179,NA,NA
345,56,106,175,NA,NA
346,239,322,346,NA,NA
